,,AVGCA RADIO CALL SIGN - EPIRB HEX NO & MMSI NO DATA BASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ACMA ,Type of,ACMA,ACMA,CG,New,,,Licence,,DSC VHF,Station Aerials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,Location,Call Sign,Station,Licence,SITE ID,DOM,DOM,EPIRB,HEX No,Expire,MMSI No,Operative,Checked,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF1,Frankston,VMR 371,LCMR,1314438,302361,1314439,1965218,,,22-Feb-12,005030115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG01 ,,VK 3909,SSCBNA,348618,,,,1702473406,3EF521963F81FE0,22-Feb-12,503151500,YES,,"BEEE6   4D1B0     00259 OLD, 3EEC80ID9AFFBFF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG01 ,Life Raft,,,,,,,11810,BEEE4 0B888 003A9  - 11810,,,,,MODLE RLB-40 P/N 2878.64 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG201 ,,VKV 7056,SSCBNA,1188226,,,,1702470555,3EF521453F81FE0,Aug-25,503151600,,,BEEEE589028003DD OLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG301 ,,VKV 7058,SSCBNA,1188228,,,,603268,BEEE6    4D210   00259,22-Feb-12,503151700,,,Done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF1,Life Jacket EPIRB,PLB-1,,,,,,0140502341M,3EF7058DBF81FE0,J11,,,,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF1,Life Jacket EPIRB,PLB-2,,,,,,0140502342M,3EF7058E3F81FE0,J200,,,,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF1,Life Jacket EPIRB,PLB-3,,,,,,0140502343M,3EF7058EBF81FE0,J160,,,,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF1,Life Jacket EPIRB,PLB-4,,,,,,0140502344M,3EF7058F3F81FE0,J167,,,,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF1,Life Jacket EPIRB,PLB-5,,,,,,0140502345M,3EF7058FBF81FE0,J50,,,,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF1,Life Jacket EPIRB,PLB-6,,,,,,0140502346M,3EF705903F81FE0,J145,,,,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF2 ,St Kilda,VMR 362,LCMR,348650,47800,1307313,1965219,,,22-Feb-12,005030123,,,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG02 ,,VKV 7078,SSCBNA,1191685,,,,701581,BEEE6AD23400369,22-Feb-12,503173800,,,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG02 ,Life Jacket EPIRB,PLB-1,,,,,,0140502347M,3EF70590BF81FE0,J28,,,,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG02 ,Life Jacket EPIRB,PLB-2,,,,,,0140502348M,3EF705913F81FE0,J138,,,,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG02 ,Life Jacket EPIRB,PLB-3,,,,,,0140502349M,3EF70591BF81FE0,J0012,,,,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG02 ,Life Jacket EPIRB,PLB-4,,,,,,0140502350M,3EF705923F81FE0,J0080,,,,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG02 ,Life Jacket EPIRB,PLB-5,,,,,,0140502351M,3EF70592BF81FE0,J0114,,,,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG02 ,Life Jacket EPIRB,PLB-6,,,,,,0140502352M,3EF705933F81FE0,J0025,,,,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF4 ,Hastings,VMR 361,LCMR,348640,47789,1307303,1965220,,,,005030111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG04 ,,VK 3761,SSCBNA,348625,,,,216779,BEEE4D3B2C0022D,1-Oct-17,503144600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG204,,VNZ2012,SSCBNA,9822272/1,,,,1506425005,3EF4B27C3F81FE0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG Domestic,CGD,,,,,1314508,,,,,,,,10 Murry St Crib Point Roy Saunders VF4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG04 ,Life Jacket EPIRB,PLB-1,,,,,,0140502353M,3EF70593BF81FE0,J197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG04 ,Life Jacket EPIRB,PLB-2,,,,,,0140502354M,3EF705943F81FE0,J154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG04 ,Life Jacket EPIRB,PLB-3,,,,,,0140502355M,3EF70594BF81FE0,J40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG04 ,Life Jacket EPIRB,PLB-4,,,,,,0140502356M,3EF705953F81FE0,J119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG04 ,Life Jacket EPIRB,PLB-5,,,,,,0140502357M,3EF70595BF81FE0,J157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG04 ,Life Jacket EPIRB,PLB-6,,,,,,0140502358M,3EF705963F81FE0,J143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF5 ,Lake Eppalock,VMR 365,LCMR,348669,47808,1307319,1965221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG05 ,,VLV 6117,SSCBNA,348690,,,,1211270877,3EF425943F81FE0,1-May-19,503413800,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG205 ,,VKV7 060,SSCBNA,1188230,,,,603250,BEEE6   4D1C8    00259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG05 ,Life Jacket EPIRB,PLB-1,,,,,,0140502359M,3EF70596BF81FE0,J81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG05 ,Life Jacket EPIRB,PLB-2,,,,,,0140502360M,3EF705973F81FE0,J158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG05 ,Life Jacket EPIRB,PLB-3,,,,,,0140502361M,3EF70597BF81FE0,J172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG05 ,Life Jacket EPIRB,PLB-4,,,,,,0140502362M,3EF705983F81FE0,J155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG05 ,Life Jacket EPIRB,PLB-5,,,,,,0140502363M,3EF70598BF81FE0,J162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG05 ,Life Jacket EPIRB,PLB-6,,,,,,0140502364M,3EF705993F81FE0,J192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF06,Safety Beach,VMR 366,LCMR,348651,1307314,,,22-Feb-12,5030258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG06 ,,VK 3839,SSCBNA,348627,,,,52333,3EF46 636B F81FE0,3-May-12,503654900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG06 ,Life Jacket EPIRB,PLB-1,,,,,,0140502365M,3EF70599BF81FE0,J97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG06 ,Life Jacket EPIRB,PLB-2,,,,,,0140502366M,3EF7059A3F81FE0,J33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG06 ,Life Jacket EPIRB,PLB-3,,,,,,0140502367M,3EF7059ABF81FE0,J49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
